No,URL,Tanggal_up,Bujur,Lintang,Lokasi Kejadian,Kategori
40,https://news.okezone.com/read/2023/03/24/510/2786735/klitih-terjadi-saat-ramadhan-di-yogyakarta-korban-seorang-pelajar?utm_source=chatgpt.com,3/24/2023,110.3549897,-7.7859238,"Jalan Tentara Rakyat Mataram, Jetis",Klitih
42,https://jogja.suara.com/read/2023/10/01/140000/klitih-di-kota-jogja-satu-orang-luka-polisi-dalami-identitas-pelaku?utm_source=chatgpt.com,10/1/2023,110.3421526,-7.8460639,"Jalan Bantul, Mantrijeron",Klitih
43,https://jogja.polri.go.id/polda/tribrata-news/online/detail/polda-diy-berhasil-meringkus-tersangka-pencurian-dengan-pemberatan-atas-laptop-jaksa-penuntut-komisi-pemberantasan-korupsi--kpk-.html,12/24/2022,110.3500539,-7.8028914,Wirobrajan,Klitih
44,https://kumparan.com/tugujogja/angka-kriminalitas-di-kota-yogyakarta-meningkat-selama-2022-1zWQPgOGDCk?utm_source=chatgpt.com,5/27/2023,110.3888633,-7.8020861,"Jalan Kusumanegara, Umbulharjo",Klitih
45,https://jogja.suara.com/read/2023/10/01/140000/klitih-di-kota-jogja-satu-orang-luka-polisi-dalami-identitas-pelaku?utm_source=chatgpt.com,10/1/2023,110.3421526,-7.8460639,"Jalan Bantul, Gedongkiwo, Mantrijeron",Klitih
48,https://www.polresjogja.com/2022/01/konferensi-pers-polsek-umbulharjo.html?utm_source=chatgpt.com,1/12/2022,110.393103,-7.809574,"Jalan Veteran, Umbulharjo",Klitih
49,https://www.benggala.com/2023/08/korban-sempat-diteriaki-klitih-polisi.html?utm_source=chatgpt.com,7/9/2023,110.3583665,-7.7863631,Selatan Tugu Yogyakarta,Klitih
50,https://bacajogja.id/2023/03/26/kronologi-klitih-bumijo-yogyakarta-polisi-tangkap-15-pelaku/?utm_source=chatgpt.com,3/26/2023,110.360645,-7.783339,"Bumijo, Jetis",Klitih
51,https://www.benggala.com/2021/11/pencuri-laptop-diamankan-polsek.html?utm_source,11/21/2021,-7.7864,110.3724677,Gondokusuman,Curanmor
52,https://jogja.suara.com/read/2021/09/09/160000/uang-jutaan-digasak-dari-kotak-infak-masjid-di-jogja-pelaku-rusak-gembok-dengan-rapi?utm_source,9/9/2021,-7.817581,110.3761801,Umbulharjo,Curanmor
53,https://www.polresjogja.com/2021/04/konferensi-pers-ungkap-kasus-curanmor.html?utm_source,4/29/2021,-7.8174348,110.3492952,Mantrijeron,Curanmor
54,https://www.polresjogja.com/2021/06/berikan-rasa-aman-polsek-umbulharjo.html?utm_source,6/4/2021,-7.8009142,110.3861063,Umbulharjo,Curanmor
55,https://jogja.suara.com/read/2022/08/24/130241/nekat-gasak-motor-mantan-teman-kos-pemuda-di-jogja-dicokok-polisi?utm_source,8/24/2022,-7.8152566,110.3659804,Umbulharjo,Curanmor
56,https://jogja.suara.com/read/2022/02/15/164829/tak-hanya-aksi-pencurian-motor-pelaku-kbp-juga-terlibat-transaksi-narkoba-di-kota-jogja?utm_source,2/15/2022,-7.8020895,110.362267,Gondokusuman,Curanmor
57,gatra.com/news-564275-hukum-gampangnya-maling-motor-di-yogyakarta-sindikat-lampung-sikat-30-motor-dalam-sebulan.html?utm_source,2/2/2023,-7.8178415,110.3770438,Kotagede,Curanmor
58,https://rejogja.republika.co.id/berita/rdrukk399/dua-pelaku-curanmor-bermodus-cari-kos-diringkus-polisi,9/6/2022,-7.8229273,110.3705578,Umbulharjo,Curanmor
59,https://rejogja.republika.co.id/berita/s0ug1u399/niat-bantu-tagih-utang-teman-pria-di-yogya-nekat-mencuri-dan-rusak-kaca-mobil,8/24/2023,-7.7996334,110.3652702,Gondomanan,Curanmor
60,https://jogja.jpnn.com/kriminal/6175/terlilit-utang-dengan-rentenir-residivis-ini-menggondol-tas-berisi-uang-di-kota-jogja,1/13/2023,-7.7932901,110.3696069,Danurejan,Curanmor
61,https://jogja.tribunnews.com/2023/09/25/ingin-punya-sepeda-motor-mantan-karyawan-nekat-curi-motor-majikan-rumah-makan-di-umbulharjo,9/15/2023,-7.816315,110.387145,Umbulharjo,Curanmor
